inf inf inf inf inf inf inf -0.000000000000000000e+00
inf inf inf inf inf 5.271778357114100366e+00 3.040675639960026988e+00 2.343087989413821914e-03
inf inf inf inf inf 2.614777914393173308e+00 2.017534967190870887e+00 2.371506600769881373e-02
inf 4.986770007066946064e+00 3.713433417757165955e+00 4.986770007066946064e+00 4.161926661717330056e+00 9.071840264482433636e-01 1.287897446554371550e+00 2.434709140055352772e-01
inf 2.164589712943293165e+00 1.161239729451391423e+00 3.381997510818676833e+00 2.772539177521829767e+00 2.363933019004272607e-01 1.644126785542215030e+00 1.801795292173113738e+00
inf 6.378885957887004965e-01 4.400559085973562157e-01 3.342371713967743130e+00 3.342371713967743130e+00 1.345687972351501394e+00 4.040797557155009656e+00 5.124564902582180004e+00
inf 1.806179185704899770e-01 9.394890225869777511e-01 4.601847815019348253e+00 6.112579761696680158e+00 4.670975117809146759e+00 inf inf
inf 5.991321289486255253e-02 1.673016422357703981e+00 5.228045262026395079e+00 inf inf inf inf
inf 1.653780434667102839e-02 2.616929449109423267e+00 6.741442241676509184e+00 inf inf inf inf
inf 5.522919426999168060e-03 3.493013804775120246e+00 inf inf inf inf inf
